Type,OID,OID (bin),POS (BIN),POS,Diff
O,5082,0001001111011010,0000000110101001,425,4657
O,5083,0001001111011011,0000000110101010,426,4657
O,5084,0001001111011100,0000000110101011,427,4657
O,5085,0001001111011101,0000000110101100,428,4657
O,5086,0001001111011110,0000000110101101,429,4657
O,5087,0001001111011111,0000000110101110,430,4657
O,5088,0001001111100000,0000000110101111,431,4657
O,5089,0001001111100001,0000000110110000,432,4657
O,5090,0001001111100010,0000000110110001,433,4657
O,5091,0001001111100011,0000000110110010,434,4657
O,5092,0001001111100100,0000000110110011,435,4657
O,5093,0001001111100101,0000000110110100,436,4657
O,5094,0001001111100110,0000000110110101,437,4657
O,5095,0001001111100111,0000000110110110,438,4657
O,5096,0001001111101000,0000000110110111,439,4657
O,5097,0001001111101001,0000000110111000,440,4657
O,5098,0001001111101010,0000000110111001,441,4657
O,5099,0001001111101011,0000000110111010,442,4657
O,5100,0001001111101100,0000000110111011,443,4657
O,5101,0001001111101101,0000000110111100,444,4657
O,5102,0001001111101110,0000000110111101,445,4657
O,5103,0001001111101111,0000000110111110,446,4657
O,5104,0001001111110000,0000000110111111,447,4657
O,5105,0001001111110001,0000000111000000,448,4657
M,59,0000000000111011,0000000111000001,449,-390
M,60,0000000000111100,0000000111000010,450,-390
M,61,0000000000111101,0000000111000011,451,-390
O,5106,0001001111110010,0000000111000100,452,4654
O,5107,0001001111110011,0000000111000101,453,4654
O,5108,0001001111110100,0000000111000110,454,4654
O,5109,0001001111110101,0000000111000111,455,4654
O,5110,0001001111110110,0000000111001000,456,4654
O,5111,0001001111110111,0000000111001001,457,4654
O,5112,0001001111111000,0000000111001010,458,4654
O,5113,0001001111111001,0000000111001011,459,4654
O,5114,0001001111111010,0000000111001100,460,4654
O,5115,0001001111111011,0000000111001101,461,4654
O,5116,0001001111111100,0000000111001110,462,4654
O,5117,0001001111111101,0000000111001111,463,4654
O,5118,0001001111111110,0000000111010000,464,4654
M,62,0000000000111110,0000000111010001,465,-403
M,63,0000000000111111,0000000111010010,466,-403
M,64,0000000001000000,0000000111010011,467,-403
